ax,ay,az,rx,ry,rz,label
-0.086548,-0.649658,0.533936,66.784668,2.824707,-7.964478,0

-0.024902,-0.643188,0.717285,192.211914,24.980469,10.529175,0

-0.103394,-0.339844,0.692017,221.691895,3.923340,-6.865845,0

-0.112305,-0.508789,1.232300,96.813965,-143.842773,-5.095825,0

-0.070068,-0.077637,1.147827,190.441895,-96.845703,-84.807739,0

0.327393,0.027100,1.204102,57.690430,-30.134277,-72.295532,0

0.138184,0.142944,0.974243,109.204102,-32.514648,-200.591431,0

-0.138916,0.044800,1.111938,103.710938,-10.664062,-99.212036,0

0.098145,0.296143,0.622803,-17.199707,48.356934,-155.303345,0

0.050171,0.281128,1.018311,-58.032227,22.111816,-134.429321,0

-0.014160,0.229370,0.894165,-306.323242,-2.668457,-121.306763,0

0.168213,-0.327026,0.869751,-281.787109,-29.890137,-101.043091,0

0.256470,-0.518799,0.790283,-284.106445,-12.495117,-127.715454,0

0.024414,-0.679688,0.505737,-236.315918,-26.838379,-67.351685,0

0.210449,-0.889282,0.513428,-226.672363,12.651367,-40.435181,0

-0.068115,-0.962036,0.141846,-177.844238,28.398438,-40.191040,0

0.224365,-0.987793,0.044922,-41.918945,22.600098,-48.186646,0

0.182251,-1.169312,0.265503,203.747559,63.737793,25.055542,0

0.323120,-1.034790,0.707275,178.479004,60.625000,66.498413,0

0.144287,-0.721924,0.774780,385.693359,151.811523,60.272827,0

-0.228394,-0.102051,0.921631,299.816895,179.948730,14.923706,0

-0.163452,-0.012207,1.039429,247.143555,84.245605,63.019409,0

-0.215820,0.188721,0.906006,276.745605,134.660645,-2.471313,0

-0.428711,0.416870,0.656006,173.046875,221.879883,-35.918579,0

-0.643433,0.550781,0.536255,146.435547,155.717773,27.680054,0

-0.688599,0.652222,0.276489,180.249023,120.561523,35.919800,0

-0.656982,0.692627,0.152832,94.006348,72.038574,51.239624,0

-0.708374,0.776245,-0.176880,52.807617,31.999512,129.242554,0

-0.582397,0.496460,-0.131348,140.820312,18.510742,172.943726,0

-0.348999,0.814575,-0.310791,45.239258,71.550293,256.683960,0

0.002808,0.124146,-0.060303,53.173828,155.412598,159.210815,0

-0.059692,0.905762,-0.266113,-38.317871,36.333008,105.682983,0

0.430786,0.598877,-0.168335,-71.093750,151.262207,79.559937,0

0.045898,0.939575,-0.186646,43.408203,128.557129,-50.689087,0

0.212524,0.964722,-0.204468,24.609375,134.416504,-109.893188,0

-0.287354,0.572510,-0.074585,64.526367,-28.242188,-274.810181,0

-0.473999,1.403564,-0.591187,35.961914,-101.972656,-143.584595,0

-0.527222,0.337769,-0.403442,-64.318848,-77.680664,-271.087036,0

-1.044922,1.471924,0.078613,16.918945,-26.166992,-191.130981,0

-0.671143,0.379761,-0.589600,-0.048828,-83.662109,-103.301392,0

-1.100830,0.670654,0.332031,33.337402,-22.687988,-227.507935,0

-0.968994,0.650269,0.174561,-34.716797,-117.475586,-114.043579,0

-1.119507,0.339600,0.075684,-14.086914,-196.455078,-116.790161,0

-0.978027,0.262085,0.244629,-41.918945,-159.284668,-60.454712,0

-0.876465,0.215576,0.324707,-23.913574,-189.741211,-24.993286,0

-0.701050,0.059937,0.387329,25.769043,-196.882324,-0.396118,0

-0.634033,0.029053,0.550049,14.599609,-216.352539,54.291382,0

-0.297241,-0.458618,0.190063,-34.838867,-118.757324,-22.918091,0

-0.149536,-0.084473,0.950684,-36.914062,-131.757812,15.411987,0

0.020752,-0.325073,0.762695,42.126465,-89.155273,28.656616,0

-0.055176,0.153564,1.145752,79.724121,-48.688965,-9.856567,0

-0.067993,0.005615,0.900024,136.608887,3.801270,-84.563599,0

0.036743,0.287842,1.357788,74.230957,-33.613281,-21.148071,0

0.015747,0.413330,1.200684,142.041016,52.568359,-80.901489,0

-0.202515,0.705566,0.806885,212.353516,44.206543,-134.185181,0

-0.237061,0.630615,0.775024,150.769043,39.079590,-144.622192,0

-0.388184,1.025513,0.669189,196.484375,16.862793,-205.718384,0

-0.428101,0.648926,0.355713,174.389648,13.505859,-239.470825,0

-0.479370,0.573242,0.267212,32.116699,-60.590820,-149.321899,0

-0.448608,0.377930,0.085205,28.271484,-73.652344,-153.472290,0

-0.484741,0.267212,0.218994,-21.228027,-96.906738,-122.588501,0

-0.409180,0.202637,0.425415,84.912109,-173.322754,-128.875122,0

-0.373535,0.135986,0.614380,106.945801,-139.020996,-84.563599,0

-0.013916,0.296021,0.627075,73.010254,-180.830078,-68.572388,0

0.000000,0.171387,0.854614,18.994141,-188.093262,-21.636353,0

0.217163,0.211304,1.067749,31.384277,-177.839355,5.890503,0

0.672852,0.249634,1.534058,-26.477051,-161.481934,81.207886,0

0.889404,-0.211060,1.596436,88.879395,47.136230,113.678589,0

0.675659,0.211914,1.159668,28.393555,108.842773,254.120483,0

0.655396,0.284180,1.215210,81.494141,195.756836,249.298706,0

0.379517,0.677368,0.467041,130.261230,263.627930,245.575562,0

0.220459,0.690430,0.422607,96.875000,208.208008,225.800171,0

0.256348,0.873535,0.226562,143.017578,192.338867,217.804565,0

0.194214,1.083740,0.181519,120.434570,156.633301,143.646851,0

0.250732,0.962158,-0.014404,154.553223,139.787598,126.129761,0

0.262939,1.158936,-0.131836,200.939941,102.189941,103.119507,0

0.219849,1.085449,-0.358032,249.523926,94.865723,56.793823,0

0.213623,1.245117,-0.871216,230.603027,35.173340,-1.677856,0

0.277222,1.100342,-0.663696,171.948242,-31.171875,-107.024536,0

0.011230,0.894897,-0.984375,-6.518555,-140.180664,-246.917114,0

0.019409,0.732422,-0.708130,140.332031,-311.994629,-193.572388,0

-0.349731,0.710571,-0.627808,48.901367,-359.479980,-140.227661,0

-0.352783,0.354858,-0.329346,99.621582,-419.294434,-166.106567,0

-0.300781,0.105835,-0.128052,12.219238,-396.711426,-79.375610,0

0.072632,0.024780,0.364624,0.012207,-361.799316,42.511597,0

0.057129,-0.119995,0.347778,-7.556152,-298.627930,86.945190,0

0.740601,0.354370,0.919434,42.492676,-272.077637,95.307007,0

0.758301,0.414307,0.573608,92.358398,-250.959473,67.841187,0

1.197998,0.678223,0.940308,114.636230,-145.856934,-9.490356,0

1.218140,0.556396,0.583984,127.087402,-115.949707,17.792358,0

1.386841,0.688354,0.603638,157.727051,-64.741211,51.605835,0

1.082275,1.046753,0.367554,188.671875,12.346191,-24.321899,0

1.092163,0.795166,0.310791,83.874512,60.991211,6.317749,0

0.821167,1.042114,0.246216,103.894043,169.206543,-23.345337,0

1.049072,0.614624,0.219482,59.338379,191.118164,5.524292,0

0.638306,0.820190,0.124390,44.201660,268.754883,-45.745239,0

0.337524,0.938354,0.185913,5.017090,261.186523,-83.526001,0

0.143311,0.729980,0.125854,-13.354492,224.199219,-29.265747,0

0.024536,1.019897,0.305786,-26.354980,209.978027,-43.547974,0

-0.313477,0.756714,0.091187,-11.096191,232.561035,-83.587036,0

-0.488892,1.002930,0.140137,-33.129883,175.249023,-34.819946,0

-0.934326,0.936157,-0.025024,-99.780273,183.916016,-79.131470,0

-1.232544,0.635376,-0.248779,-77.990723,49.577637,-60.393677,0

-0.934326,0.511475,-0.239136,-89.099121,-65.900879,-97.380981,0

-0.666992,0.157349,-0.306885,-32.641602,-117.841797,-168.914185,0

-0.334229,0.192993,-0.036743,15.942383,-146.345215,-114.714966,0

-0.417969,0.136475,0.083374,38.830566,-172.285156,-40.191040,0

-0.261230,0.287231,0.177490,28.820801,-209.821777,-24.321899,0

0.726196,0.383545,0.595215,-163.562012,-230.695801,-39.519653,0

0.159302,0.185303,0.743042,-26.354980,15.092773,-122.832642,0

0.517334,-0.277954,1.553345,127.880859,36.943359,-76.079712,0

0.102051,-0.071655,1.489502,-99.902344,71.916504,-20.171509,0

0.677368,-1.104980,2.712646,101.757812,-153.791504,-14.739380,0

0.312744,0.862061,1.931274,-31.726074,58.122559,126.740112,0

0.036499,-0.008057,1.413696,-27.941895,6.364746,71.564331,0

-0.227539,-0.064453,1.328491,-30.932617,13.261719,119.843140,0

0.241577,0.034790,1.133545,121.533203,40.056152,110.443726,0

0.018066,0.335205,1.252930,-36.486816,33.464355,112.885132,0

0.150635,0.203735,0.867676,-21.228027,33.769531,113.434448,0

-0.082886,0.317261,0.815796,-10.119629,77.592773,123.200073,0

0.225098,0.212280,0.510010,-62.731934,65.141602,120.880737,0

-0.208984,0.443604,0.697632,44.445801,52.446289,170.258179,0

0.001587,0.132812,0.684814,-53.515625,106.767578,160.492554,0

-0.268677,0.874390,0.601562,164.440918,241.594238,232.819214,0

-0.653198,1.370605,-0.321655,268.872070,190.996094,104.828491,0

-0.621216,1.355835,-1.125977,526.074219,81.682129,16.937866,0

0.258667,0.738647,-0.630249,-112.048340,-92.390137,-28.777466,0

0.037720,0.961060,-0.629517,-66.149902,-331.098633,-91.582642,0

0.617798,0.340942,0.079102,-220.141602,-377.424316,-155.913696,0

0.593628,0.513062,0.220215,-115.832520,-279.523926,-213.652954,0

1.042358,-0.013184,0.728882,11.486816,-219.465332,-214.690552,0

1.037720,0.248657,1.206299,75.024414,-180.219727,-197.234497,0

0.805542,0.360229,1.598267,89.611816,-160.993652,-160.430298,0

0.507324,0.714966,1.900146,118.237305,-135.786133,-98.845825,0

0.743164,0.539307,2.038330,85.400391,-132.551270,-75.530396,0

0.701294,0.806885,1.942993,105.847168,76.677246,-113.616333,0

0.816772,0.870483,1.590088,-143.908691,120.439453,-15.288696,0

0.724487,0.763062,1.225952,-50.585938,301.286621,-59.234009,0

0.606567,0.831909,0.750854,-98.498535,392.656250,-111.663208,0

0.632324,0.595947,0.048706,27.722168,584.916992,-213.103638,0

0.428955,0.618286,-0.572510,-130.664062,433.000488,-191.069946,0

0.136719,0.123901,-1.505371,-140.673828,252.641602,-178.801880,0

0.112427,-0.258057,-2.039795,-155.871582,54.399414,-82.915649,0

0.063843,-0.275879,-1.916504,-31.848145,-68.708496,-1.372681,0

0.092407,-0.191772,-1.141235,53.112793,-247.358398,77.240601,0

0.137939,0.379883,-0.534668,-20.068359,-485.273438,123.505249,0

0.291626,0.527100,0.040405,-21.594238,-539.777832,45.380249,0

0.761353,0.214111,0.473389,-20.556641,-550.397949,1.007690,0

1.093872,0.322144,0.982788,-2.612305,-450.117188,-68.694458,0

1.007935,0.510010,0.895508,102.612305,-197.492676,-12.725220,0

1.155518,0.637939,0.896118,90.405273,-165.876465,-53.496704,0

1.221313,0.761841,0.840210,103.955078,-122.602539,-14.983521,0

1.159546,0.571167,0.834106,54.760742,-119.001465,3.082886,0

1.159546,0.670776,0.712524,22.961426,-87.629395,-6.865845,0

0.989014,0.620117,0.849121,55.676270,-42.890625,20.905151,0

0.789307,0.506104,0.722900,-27.331543,-41.059570,15.350952,0

0.721436,0.818359,1.102783,10.021973,-24.213867,7.416382,0

1.051758,1.059570,1.380127,-15.002441,50.249023,-43.364868,0

1.248291,0.861328,1.197144,-54.675293,150.102539,-82.793579,0

1.258301,0.952148,1.107544,-59.558105,208.757324,-62.590942,0

1.237793,0.964600,1.040039,-15.612793,335.161133,-123.870239,0

1.085205,0.736328,0.852295,-3.710938,392.290039,-161.528931,0

0.901123,0.858276,0.654297,-32.092285,404.619141,-188.811646,0

0.715454,0.607300,0.389282,-21.472168,445.390625,-170.195923,0

0.483032,0.746460,-0.093140,-92.028809,443.498535,-188.262329,0

0.253540,0.341919,-1.034424,-114.184570,321.733398,-216.826782,0

0.041138,-0.204468,-2.075806,-226.000977,28.947754,-134.002075,0

-0.078613,-0.335693,-2.021973,-56.933594,-3.583984,-69.732056,0

-0.047363,-0.238770,-1.497070,43.103027,-145.979004,1.068726,0

-0.115601,-0.042725,-0.830811,90.039062,-199.628906,63.324585,0

-0.007568,0.059204,-0.556396,20.642090,-324.140625,84.381714,0

0.081177,0.365112,-0.082886,59.216309,-371.809082,84.808960,0

0.431763,0.436523,0.358887,38.342285,-420.393066,60.333862,0

0.597046,0.273193,0.693848,-11.523438,-405.683594,32.807007,0

0.800415,0.777710,0.986694,78.808594,-299.787598,36.286011,0

1.369019,0.628540,0.864868,76.123047,-241.560059,54.230347,0

1.320923,0.863403,1.302734,100.109863,-233.015137,63.812866,0

0.986206,0.740967,0.581787,60.681152,-48.994141,20.172729,0

1.246216,0.570801,0.908569,118.481445,-150.312500,27.252808,0

0.943726,0.855225,0.893799,124.218750,-61.506348,61.005249,0

0.822998,0.681519,0.858643,94.494629,-21.345215,38.605347,0

0.760132,0.849854,0.924316,-44.482422,-38.557129,8.637085,0

0.904297,0.622314,0.627441,-27.697754,20.463867,-5.950317,0

0.991211,0.573364,0.703857,-56.140137,17.045898,-12.603149,0

1.239380,0.714722,0.912598,-50.769043,62.089844,-29.082642,0

1.464966,0.733765,1.153564,-26.171875,151.689453,-60.332642,0

1.405151,0.701050,0.959473,-54.309082,238.298340,-51.116333,0

1.243652,0.825317,1.043945,-53.210449,254.838867,-58.989868,0

1.155273,0.577026,0.956055,-40.942383,322.038574,-80.901489,0

0.901489,0.813477,0.697021,-32.458496,391.130371,-105.620728,0

0.721802,0.453857,0.632568,-24.890137,375.444336,-111.296997,0

0.438110,0.610352,0.134888,-95.446777,405.534668,-117.095337,0

0.113892,0.539185,-0.476318,-69.628906,409.746094,-158.660278,0

-0.251953,-0.033325,-1.732178,-200.732422,121.599121,-136.687622,0

-0.409790,-0.176392,-1.741699,-129.138184,21.318359,-89.324341,0

-0.308960,-0.246948,-1.802979,-6.335449,-78.474121,-26.580200,0

-0.148682,-0.119995,-1.159668,81.066895,-178.022461,29.205933,0

-0.011597,0.204590,-0.752930,112.683105,-269.636230,58.991089,0

0.269897,0.442993,-0.299072,104.321289,-375.532227,53.131714,0

0.575439,0.870972,0.132568,90.649414,-434.553223,5.524292,0

1.112549,0.582764,0.656738,68.066406,-504.621582,-68.938599,0

1.203613,0.848999,1.100586,69.836426,-344.282227,-42.449341,0

1.485352,0.371704,1.054443,158.398438,-174.909668,-74.187622,0

1.226074,1.054077,0.853760,134.106445,-134.809570,-16.997681,0

1.232300,0.646484,1.228271,146.862793,-110.944824,-10.955200,0

0.831665,0.737793,0.927490,22.839355,-41.120605,-21.026001,0

0.935913,0.641113,1.274170,35.534668,-12.189941,-24.627075,0

0.610107,0.785278,1.170044,7.580566,61.296387,37.445679,0

0.346436,0.734009,1.100586,-17.138672,83.146973,67.597046,0

0.462646,0.394531,0.890015,-28.552246,94.987793,93.842163,0

0.499268,0.427124,0.864136,-44.543457,87.236328,28.107300,0

0.614136,0.501953,0.842896,-71.887207,99.687500,44.953003,0

0.480957,0.276855,0.834717,-56.201172,62.211914,22.369995,0

0.470947,0.409302,0.800659,-84.521484,56.779785,47.455444,0

0.308960,0.166260,0.736572,79.663086,54.216309,26.825562,0

0.198608,0.398315,0.712402,48.107910,98.771973,16.693726,0

0.197266,0.437134,0.800293,-76.159668,11.613770,15.961304,0

0.089111,0.298828,0.715088,-33.129883,46.159668,65.521851,0

0.101196,0.265747,0.723999,-19.396973,33.220215,11.139526,0

0.164429,0.333130,0.918335,-16.589355,-9.809570,53.681030,0

0.126587,0.333984,0.921997,-6.701660,-13.349609,-3.447876,0

0.283081,0.226074,0.906982,-11.645508,-22.138672,51.849976,0

0.250732,0.319702,0.883057,19.299316,-32.270508,12.604370,0

0.219849,0.379639,0.813843,9.472656,-21.955566,13.580933,0

0.369995,0.294189,0.805908,20.336914,-41.242676,-9.002075,0

0.359863,0.340698,0.793457,34.069824,-35.444336,-17.241821,0

0.606812,0.196411,0.986572,28.332520,-43.989258,-6.438599,0

0.536865,0.289062,0.870361,33.459473,-20.307617,-3.264771,0

0.503174,0.205566,0.933594,8.923340,-15.180664,-4.973755,0

0.474121,0.256348,0.918457,23.205566,-24.335938,-9.673462,0

0.503784,0.328735,0.898071,26.501465,-31.477051,-16.631470,0

0.510254,0.299194,0.839722,0.866699,-31.965332,-27.068481,0

0.445801,0.459961,0.895142,7.519531,-29.157715,-37.566528,0

0.532471,0.317993,0.802368,-39.111328,-33.247070,-48.003540,1

0.463013,0.360596,0.788452,14.721680,-10.358887,-28.045044,1

0.444946,0.212646,0.696533,5.505371,-60.957031,-20.049438,1

0.394165,0.397705,0.425781,-10.424805,-69.196777,20.722046,1

0.506348,-0.006592,0.079590,-12.011719,6.425781,-4.424438,1

0.644165,0.339355,0.635498,3.918457,1.054688,3.143921,1

0.471313,1.045288,1.895264,-45.458984,23.881836,-46.416626,1

0.564087,1.850708,3.771484,-72.070312,76.738281,-22.734985,1

1.264648,1.475098,3.440308,-125.170898,155.778809,-33.782349,1

1.336670,1.042969,2.804443,-99.780273,220.170898,-20.964966,1

1.063477,0.499146,1.718018,-85.559082,251.054688,-43.731079,1

0.868896,0.014404,0.973999,-68.713379,252.885742,-1.067505,1

1.105103,-0.006714,0.470703,-19.152832,266.069336,-9.124146,1

1.345825,-0.139893,0.482788,18.688965,224.443359,-6.926880,1

1.327637,0.025757,0.687866,107.861328,240.190430,-38.543091,1

1.249756,-0.172607,0.623291,18.078613,233.964844,-33.294067,1

1.314087,0.256226,0.970337,29.858398,257.707520,-68.145142,1

1.224609,0.347656,0.339844,-18.115234,219.987793,-151.702271,1

-0.158325,0.032959,-2.893555,40.234375,253.251953,-160.857544,1

-1.418335,-1.201172,-3.997559,-132.434082,-60.529785,-71.990356,1

-0.809814,-0.893188,-3.903320,-80.676270,-208.112793,25.116577,1

0.274780,0.263672,-2.365112,23.205566,-241.682129,124.725952,1

1.679077,1.317017,0.361328,55.249023,-301.862793,136.810913,1

1.568237,0.482910,0.855469,82.409668,-214.521484,-3.569946,1

1.466309,-0.115601,-0.021606,69.165039,-219.892578,-6.255493,1

1.744629,0.103516,0.616333,17.529297,-311.079102,-3.020630,1

1.635864,-0.113770,0.884644,5.566406,-261.762695,-8.880005,1

1.449951,-0.043823,0.922729,90.466309,-217.695312,45.136108,1

0.955078,0.205566,1.317139,34.375000,-229.780273,68.634644,1

1.461670,0.184570,1.423828,12.768555,-246.076660,75.653687,1

2.695068,0.898315,2.250244,98.034668,-290.266113,16.388550,1

3.592407,1.712646,2.562500,196.850586,-269.514160,101.593628,1

1.793579,1.416138,2.891846,155.041504,-177.778320,112.274780,1

0.613770,1.532959,2.300293,127.331543,-6.574707,108.246460,0

0.069336,0.613281,0.379272,37.854004,94.133301,7.111206,0

0.599976,0.016357,0.274780,127.148438,118.791504,-23.284302,0

0.810913,0.144775,0.219116,-75.122070,99.077148,-11.992798,0

1.081665,0.083496,0.118408,-31.420898,103.349609,-66.680298,0

1.195312,0.278198,0.340698,-65.661621,37.370605,-4.485474,0

1.016113,0.255737,0.303101,-12.255859,16.008301,-39.763794,0

0.657837,0.062744,0.265259,-21.960449,-15.485840,-19.683228,0

0.634399,0.211426,0.139648,31.323242,-10.541992,1.434937,0

0.833618,0.203247,0.332886,25.219727,-52.473145,-5.950317,0

0.893799,0.457397,0.519043,53.662109,-44.538574,-7.354126,0

1.008667,0.185547,0.505737,27.905273,-56.684570,-2.227173,0

0.839966,0.455566,0.531128,37.976074,-33.613281,19.135132,0

0.843384,0.383545,0.546265,52.197266,-25.373535,24.323120,0

0.841064,0.445557,0.480347,31.933594,-14.082031,9.552612,0

0.990479,0.325317,0.480469,19.787598,-4.682617,-10.405884,0

0.911499,0.245117,0.401489,14.660645,13.994141,2.716675,0

0.783203,0.426392,0.311157,-4.321289,20.585938,17.731323,0

0.716064,0.207520,0.119385,4.895020,12.468262,-12.969360,0

0.676514,0.279907,0.211182,9.655762,10.026855,-7.171021,0

0.578247,0.212158,0.197021,8.007812,7.036133,4.730835,0

0.690918,0.484253,0.351074,-21.044922,7.585449,-31.463013,0

0.601929,0.884155,0.898560,-119.311523,36.210938,-61.370239,1

0.939453,1.553223,1.700317,-86.718750,52.690430,-102.752075,1

1.414062,1.730225,2.723633,-111.926270,82.719727,-120.452271,1

2.097046,1.951416,3.312134,-87.817383,214.372559,-84.990845,1

2.117676,1.115845,2.293091,-84.460449,232.438965,-82.427368,1

1.313843,0.601074,1.359253,-97.033691,243.364258,-49.224243,1

0.932373,0.149292,0.576904,-20.617676,255.632324,-33.904419,1

0.948853,-0.031250,0.286011,23.510742,237.687988,-50.628052,1

1.263550,-0.086182,0.952881,115.673828,239.519043,-104.644165,1

1.380127,0.061401,0.828125,14.355469,203.386230,-120.696411,1

1.567627,-0.132568,0.765869,56.774902,256.853027,-145.903931,1

1.377563,0.482056,0.982666,-25.805664,253.862305,-140.105591,1

1.139038,0.327271,-0.595337,47.924805,216.264648,-169.097290,1

0.062622,-0.551270,-2.879883,-88.549805,121.049805,-241.118774,1

-0.454346,-2.228394,-3.997559,-7.128906,-89.460449,-75.530396,1

-0.723511,-0.772583,-3.562256,-66.760254,-196.943359,152.557983,1

0.267334,-0.133423,-2.203247,7.397461,-234.846191,113.800659,1

1.809570,0.836426,-0.192017,88.696289,-196.699219,165.680542,1

2.182495,0.907837,1.149292,110.485840,-240.095215,85.114136,1

1.715332,0.396118,1.416260,9.960938,-228.376465,108.856812,1

1.858765,0.124756,1.089111,15.942383,-316.267090,50.202026,1

1.852417,-0.055176,1.586914,-32.824707,-388.898926,7.782593,1

1.401489,-0.106079,1.168945,13.012695,-297.956543,39.337769,1

1.033447,-0.162231,1.555786,36.206055,-321.333008,37.567749,1

2.512329,1.048584,2.427124,158.093262,-321.516113,110.748901,1

3.175781,1.570435,2.431519,182.934570,-172.224121,46.234741,1

2.379028,2.071533,2.608643,294.262695,-60.773926,161.347046,1

0.921143,1.439453,1.259521,74.475098,64.775391,-8.452759,0

0.943481,0.203369,0.686279,1.416016,110.551758,-15.960083,0

0.220825,-0.091919,0.136230,20.092773,127.641602,63.995972,0

0.438354,0.141724,0.249023,17.590332,141.496582,28.656616,0

0.932739,0.288818,0.027466,-9.631348,103.166504,-10.650024,0

0.959595,0.234131,0.530884,58.666992,-44.538574,-78.276978,0

0.998901,-0.037964,0.598877,-47.717285,-9.077148,-63.628540,0

0.899414,0.095825,0.227539,-49.060059,35.478516,-17.424927,0

0.864868,0.119873,0.233276,-17.504883,-21.162109,-1.250610,0

0.810181,0.190918,0.484741,27.844238,-39.350586,16.510620,0

0.729126,0.374634,0.569580,18.933105,-34.040527,21.637573,0

0.905884,0.312744,0.593750,14.050293,-42.341309,-0.640259,0

0.868164,0.412842,0.669434,20.764160,-37.946777,19.379272,0

0.790039,0.401367,0.618408,26.379395,-16.157227,9.857788,0

0.769287,0.418213,0.680054,36.572266,-9.321289,13.825073,0

0.772095,0.458740,0.610107,30.346680,13.811035,-7.598267,0

0.836914,0.292358,0.508179,27.233887,5.266113,-15.654907,0

0.935303,0.232300,0.440063,35.107422,16.618652,-8.086548,0

0.866089,0.265015,0.414062,42.431641,19.731445,10.529175,0

0.866455,0.295166,0.450195,26.806641,16.862793,17.548218,0

0.897095,0.241089,0.378174,-0.781250,2.946777,11.505737,0

0.732544,0.208008,0.282349,-11.462402,-2.485352,17.304077,0

0.472900,0.458008,0.376465,-1.086426,-10.297852,-13.274536,0

0.348022,0.384399,0.457397,-99.230957,-26.350098,-74.004517,1

0.223633,1.066650,0.837646,-128.771973,-8.039551,-83.892212,1

0.306152,1.196533,1.012451,-126.452637,26.445312,-126.067505,1

0.754150,1.683228,2.265137,-103.320312,27.055664,-135.344849,1

1.447998,2.016724,3.262085,-24.340820,132.402344,-149.993286,1

